Epoch: [0][126/200], lr: 0.00038	Time 0.070 (0.104)	Data 0.000 (0.007)	Loss 0.6622 (0.6943)	Prec@1 87.500 (47.343)	
Epoch: [0][127/200], lr: 0.00038	Time 0.074 (0.104)	Data 0.000 (0.007)	Loss 0.7050 (0.6944)	Prec@1 37.500 (47.266)	
Epoch: [0][128/200], lr: 0.00038	Time 0.079 (0.104)	Data 0.000 (0.007)	Loss 0.7273 (0.6947)	Prec@1 12.500 (46.996)	
Epoch: [0][129/200], lr: 0.00038	Time 0.076 (0.104)	Data 0.000 (0.007)	Loss 0.6833 (0.6946)	Prec@1 62.500 (47.115)	
Epoch: [0][130/200], lr: 0.00038	Time 0.070 (0.103)	Data 0.000 (0.007)	Loss 0.6941 (0.6946)	Prec@1 50.000 (47.137)	
Epoch: [0][131/200], lr: 0.00038	Time 0.074 (0.103)	Data 0.000 (0.007)	Loss 0.6835 (0.6945)	Prec@1 62.500 (47.254)	
Epoch: [0][132/200], lr: 0.00038	Time 0.074 (0.103)	Data 0.000 (0.007)	Loss 0.7046 (0.6946)	Prec@1 37.500 (47.180)	
Epoch: [0][133/200], lr: 0.00038	Time 0.076 (0.103)	Data 0.000 (0.007)	Loss 0.6837 (0.6945)	Prec@1 62.500 (47.295)	
Epoch: [0][134/200], lr: 0.00038	Time 0.081 (0.103)	Data 0.000 (0.007)	Loss 0.7353 (0.6948)	Prec@1 0.000 (46.944)	
Epoch: [0][135/200], lr: 0.00038	Time 0.079 (0.102)	Data 0.000 (0.007)	Loss 0.6841 (0.6947)	Prec@1 62.500 (47.059)	
Epoch: [0][136/200], lr: 0.00038	Time 0.076 (0.102)	Data 0.000 (0.007)	Loss 0.7033 (0.6948)	Prec@1 37.500 (46.989)	
Epoch: [0][137/200], lr: 0.00038	Time 0.076 (0.102)	Data 0.000 (0.006)	Loss 0.7206 (0.6950)	Prec@1 12.500 (46.739)	
Epoch: [0][138/200], lr: 0.00038	Time 0.081 (0.102)	Data 0.000 (0.006)	Loss 0.7018 (0.6950)	Prec@1 37.500 (46.673)	
Epoch: [0][139/200], lr: 0.00038	Time 0.065 (0.102)	Data 0.000 (0.006)	Loss 0.6863 (0.6949)	Prec@1 62.500 (46.786)	
Epoch: [0][140/200], lr: 0.00038	Time 0.078 (0.101)	Data 0.000 (0.006)	Loss 0.7067 (0.6950)	Prec@1 25.000 (46.631)	
